week,day,content_type,title_or_topic,primary_metric,status,notes
1,Day 5,article_draft,Easiest Baby Nasal Aspirator to Clean at 3AM,MCT,planned,先建结构等待数据
2,Day 10,lab_note,First cleaning friction notes after unboxing,MCT,planned,
3,Day 18,article_publish,Easiest Baby Nasal Aspirator to Clean at 3AM,MCT,planned,
4,Day 25,article_publish,Quietest Baby Nasal Aspirator for Light Sleepers,SSS,planned,
5,Day 35,lab_note,Week 2 leakage observations,LFI,planned,
6,Day 42,article_publish,What Parents Regret Buying in Baby Nasal Aspirators,LFI,planned,
7,Day 50,lab_note,Day 30 mold inspection notes,MRS,planned,
8,Day 58,article_publish,30-Day Mold Risk Check,MRS,planned,
9,Day 65,article_publish,Which Baby Nasal Aspirators Actually Work One-Handed,OOH,planned,
10,Day 72,methodology_update,QuietBabyGear Testing Protocol v1.1,ALL,planned,
11,Day 80,roundup,What We Learned After Testing 5 Aspirators at Night,ALL,planned,
12,Day 88,newsletter,90-day testing database summary,ALL,planned,

